Domain
Infrakingdom
Infradivision
Cohort
Kingdom,TRUE
Subkingdom
Division,TRUE
Subdivision
Superphylum
Phylum,TRUE
Subphylum
Superclass
Class,TRUE
Subclass
Infraclass
Superorder
Order,TRUE
Suborder
Infraorder
Parvorder
Superfamily
Family,TRUE
Subfamily
Tribe
Subtribe
Genus,TRUE
Subgenus
Section
Subsection
Species,TRUE
Subspecies
Variety
Subvariety
Forma
Subforma
